asset_id,display_name,category,night_scope,final_path,source_path,creator,created_on,source_kind,source_url_or_contract,license_snapshot,permitted_scope,attribution_text,third_party_inputs,generator_record,human_redraw,similarity_review,sha256,version,gate_status,notes
CHR-COMMON-001,软团兽可编辑矢量,character,common,not-in-build,assets/final/characters/soft-creature.svg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/characters/soft-creature.svg#metadata,project-task-record,仅保留历史研究；不得进入当前体验版,none,none,SVG metadata,未采用生成位图；以语义分组直接构建可编辑矢量,用户已批准成年人＋家猫替代旧角色,a8f09fe9bfdfcd9027dae2872d50a21f86671cbf20ad4e902a09bf0c1b484198,v1.0.1,retired,V7 已替代；禁止当前构建引用
CHR-COMMON-002,灯灵可编辑矢量,character,common,not-in-build,assets/final/characters/lamp-spirit.svg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/characters/lamp-spirit.svg#metadata,project-task-record,仅保留历史研究；不得进入当前体验版,none,none,SVG metadata,未采用生成位图；以语义分组直接构建可编辑矢量,用户已批准成年人＋家猫替代旧角色,3c3a89499cfa3afb69bde2f11b663dd30a8ca262a3d05a82e041295a7fadf20d,v1.0.1,retired,V7 已替代；禁止当前构建引用
CHR-COMMON-003,旧角色圣经可视板,character,common,not-in-build,assets/final/characters/character-bible.svg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/characters/character-bible.svg#metadata,project-task-record,仅保留历史研究；不得进入当前体验版,none,CHR-COMMON-001|CHR-COMMON-002,SVG metadata,旧角色三视图与动作板,用户已批准成年人＋家猫替代旧角色,3eab1055d2806c5f193b7d39736f88a8ebe73b0c23e2e97811e2985d4e37f895,v1.0.1,retired,V7 已替代；禁止当前构建引用
BRD-COMMON-001,今夜有灯标志,ui,common,assets/final/brand/logo.svg,assets/final/brand/logo.svg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/brand/logo.svg#metadata,project-task-record,项目内原型与体验版使用；名称与商标正式检索前不对外发布,none,none,SVG metadata,未采用生成位图；直接构建可编辑矢量与系统字体文本；项目负责人终审待完成,内部结构检查通过；名称与图形专业检索待完成,c5d6da7d3e17bd8dd3adab67c8e6375a662d067bddec01565b93bc0b87895517,v1.0.0,draft,中文保持可编辑文本
UI-COMMON-001,功能图标组,ui,common,assets/final/ui/icons.svg,assets/final/ui/icons.svg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/ui/icons.svg#metadata,project-task-record,项目内原型与体验版使用；正式发布前复核,none,none,SVG metadata,未采用第三方图标；直接构建可编辑几何路径；项目负责人终审待完成,内部可辨识与44px使用检查通过,2544a77f1d7b7c8cd16038a84fbb4d031cf11b34e3d71ebf036fb6b3b66fb485,v1.0.0,draft,声音静音减少动态大字关闭分享暂停
OBJ-N01-001,第一夜互动物组,scene,N01,assets/final/interactions/objects.svg,assets/final/interactions/objects.svg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/interactions/objects.svg#metadata,project-task-record,项目内原型与体验版使用；正式发布前复核,none,none,SVG metadata,未采用生成位图；直接构建可编辑几何路径；项目负责人终审待完成,内部结构检查通过,fa758c63a82ba4a9a1a65431f30f87068f55241b242c58ec3383eeb5e54ab992,v1.0.0,draft,壶正反杯暖光雾窗围巾被子桌灯门
AUD-N01-001,第一夜夜间房间环境音乐候选,music,N01,cocos-project/assets/resources/audio/night-room-loop.ogg,assets/final/audio/night-room-loop.ogg,CODEX-AI+PROJECT-OWNER,2026-08-21,ai-assisted,assets/final/audio/README.md,project-task-record,项目内原型与体验版使用；正式发布前复核,none,none,FFmpeg 8.1.2 确定性合成；固定种子 20260821；完整命令见 assets/final/audio/README.md,not-applicable-audio；项目负责人听感终审待完成,来源和机器循环验证通过；耳机/微信真机/用户听感待验,d2b5df60c879dd9b3c4be65132b17605820d312259dff2e98fcdc47ea7b14b30,v1.0.0,draft,无采样无第三方音频；首次触碰后建议 2.5 秒渐入
AUD-OUTDOOR-001,夜风草坡环境风候选,audio,common,cocos-project/assets/resources/audio/outdoor-gate-c/night-breeze-loop-v1.ogg,/Users/wxl/Documents/Codex/2026-08-21/g-i/outputs/gate-c-audio-preview/205109_1172045-hq.mp3,floft+PROJECT-OWNER,2026-08-21,licensed,https://freesound.org/people/floft/sounds/205109/,/Users/wxl/Documents/Codex/2026-08-21/g-i/outputs/gate-c-audio-preview/license-snapshot-2026-08-21.md,CC0 1.0允许复制修改分发表演与商用；不得暗示作者背书,none,none,none,not-applicable-audio,来源与许可已复核；用户已确认14秒处理试听听感没问题；wind-blite-audio-v1已通过独立QA的首触静音模拟前后台与单实例循环；微信真机和主观接缝复听待完成,d7a4d798def9f957e0dcb20ea4ea5aac74b034f9355703ce39bf58d6f2ac123f,v0.3.1,reviewed,已接入Gate C唯一B-lite候选；26秒OGG循环候选；不包含音乐素材批准；旧audio-proof-v1、Wind A与showall-navy-r6-audio-wind不得替代当前Gate结论
EXP-COMMON-001,月光灯箱氛围探索,scene,common,not-in-build,assets/exploration/moonlight-diorama-reference.png,OPENAI-IMAGEGEN,2026-08-21,ai-assisted,assets/exploration/PROMPTS.md,正式使用前保存当前账户条款快照,仅作光色构图和材质探索；禁止直接进入构建,none,none,assets/exploration/PROMPTS.md,not-applicable,已确认无角色无标志无文字；不作最终素材,0239b5cad5fe1c0221df5d89c0153d927300cabcea005106ddedc6d193c7c951,v1.0.0,reviewed,明确排除出体验版包体
EXP-COMMON-002,冬夜孔版氛围探索,scene,common,not-in-build,assets/exploration/winter-stencil-reference.png,OPENAI-IMAGEGEN,2026-08-21,ai-assisted,assets/exploration/PROMPTS.md,正式使用前保存当前账户条款快照,仅作光色构图和材质探索；禁止直接进入构建,none,none,assets/exploration/PROMPTS.md,not-applicable,已确认无角色无标志无文字；不作最终素材,a9a5f9256f6cc03a092378753d7f2351bbc75d960f42f8455d1720b30e5d2c14,v1.0.0,reviewed,明确排除出体验版包体
EXP-COMMON-003,毛毡暖箱氛围探索,scene,common,not-in-build,assets/exploration/felt-room-reference.png,OPENAI-IMAGEGEN,2026-08-21,ai-assisted,assets/exploration/PROMPTS.md,正式使用前保存当前账户条款快照,仅作光色构图和材质探索；禁止直接进入构建,none,none,assets/exploration/PROMPTS.md,not-applicable,已确认无角色无标志无文字；不作最终素材,451049660e0a3bfab75156f300dc5dd75287eb131b451c5e1cad167792a04188,v1.0.0,reviewed,明确排除出体验版包体
EXP-OUTDOOR-007,V7自然星空人物与家猫方向图,scene,common,not-in-build,/Users/wxl/Documents/Codex/2026-08-21/g-i/outputs/gate-b-material-proof/v4b-natural-starry-sky-cartoon-human-cat-v7-390x844.png,OPENAI-IMAGEGEN,2026-08-21,ai-assisted,/Users/wxl/Documents/Codex/2026-08-21/g-i/outputs/gate-b-material-proof/CHARACTER-REVISION-HUMAN-CAT.md,project-task-record,仅作Gate C可丢弃样片视觉方向；禁止作为正式入包资产,none,none,UI任务内置imagegen生成记录,not-applicable；Gate D前须可编辑分层原创重绘,用户已明确批准视觉方向；正式资产相似性审查待后续,7157484b95988b11c1abdf9ddc0d5bb7c2d3bde25dd9d2dfcf6c5ee795847b3d,v7.0.0,reviewed,批准范围仅为Gate C方向；prototype-only
EXP-N01-UI-003,暖屋窗边小桌V1.1光色探索,scene,N01,not-in-build,design-board/formal-ui-v1-1/assets/concept-a-warm-room-exploration-v1-1.png,OPENAI-IMAGEGEN,2026-08-24,ai-assisted,design-board/formal-ui-v1-1/README.md,project-task-record,仅保留历史研究；禁止直接进入构建,none,concept-a-window-table-exploration.png,design-board/formal-ui-v1-1/README.md,not-applicable；正式人物猫灯壶窗和互动必须原创分层重绘,用户否决暗屋与黑角；不得进入当前设计或构建,3d6407f3dda86391aa8c7ab62bd35cb30752741344280890f20909b5fd2454c5,v1.1.0,retired,V1.2明亮暖家已替代；历史探索 only
EXP-N01-UI-004,明亮暖家与晚饭V1.2探索,scene,N01,not-in-build,design-board/formal-ui-v1-2/assets/concept-bright-home-dinner-exploration-v1-2.png,OPENAI-IMAGEGEN,2026-08-24,ai-assisted,design-board/formal-ui-v1-2/README.md,project-task-record,仅作整屋明亮暖光构图晚饭语义与材质探索；禁止直接进入构建,none,EXP-N01-UI-003,design-board/formal-ui-v1-2/README.md,not-applicable；正式人物猫灯饭菜壶窗和互动必须原创分层重绘,用户已批准V1.2-A方向与本图像素内容作为参考；未批准本图入包；正式相似性审查待后续,076ea53dcbc7a5e6c2d4920a9a21adfaf60c4e7880c7864cd5d28baf04adf347,v1.2.1,reviewed,A灯一直为你亮着已批准进入可编辑母版阶段；本图仍不是正式资产或Cocos输入
EXP-N01-UI-005,FORMAL-UI-V1.2-A用户批准参考图,scene,N01,not-in-build,design-board/formal-ui-v1-2/approvals/formal-ui-v1-2-a-user-approved-reference-2026-08-24.png,USER-PROVIDED-REFERENCE,2026-08-24,user-provided,docs/FORMAL-UI-V1-2-A-APPROVAL.md|docs/INDOOR-N01-PROTOTYPE-V1.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,未声明正式发布许可；用户只授权开发版本0.4.2历史体验及当前0.4.3一次性体验测试,仅作批准追溯、原创重绘参考、本地可丢弃样片、历史r2开发版本0.4.2／对应体验版及当前gate-d-mainflow-v4-phone-preview-dev-r3开发版本0.4.3／由用户设置的对应体验版；禁止进入审核版、正式包或线上发布,none,EXP-N01-UI-004,docs/FORMAL-UI-V1-2-A-APPROVAL.md|docs/INDOOR-N01-PROTOTYPE-V1.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,not-applicable；正式全场景必须原创可编辑分层重绘,用户批准方向明确；0.4.2／0.4.3体验测试授权不等于生产资产批准；生产资产仍需原创与相似性审查,ad65d6fa811487fe5bd69726f1c5bf9d4b4c983d517c360b7087ff42f89cb36a,v1.0.6,reviewed,prototype-only；disposable；experience-v0.4.3-only-current；0.4.2-historical；not-for-review；not-for-release
MST-N01-UI-001,FORMAL-UI-V1.2-A扁平SVG失败草稿R0,scene,N01,not-in-build,design-board/formal-ui-v1-2/superseded/flat-svg-draft-r0/formal-ui-v1-2-a-master-r0.svg,CODEX-AI+PROJECT-OWNER,2026-08-24,manual-vector,design-board/formal-ui-v1-2/superseded/flat-svg-draft-r0/README.md,project-task-record,仅保留失败研究与工程追溯；禁止作为当前母版或Cocos输入,none,EXP-N01-UI-005,SVG metadata; hand-authored vector; no embedded raster,可编辑SVG但真实截图视觉质量不达标,负责人390x844截图审查FAIL；成年人猫桌面和水粉质感明显低于批准参考,7d13822b16cbb8cc3b057fdc28f0264bf24b2c43cb44ffbe2e3fcedd3ed35989,v1.2-a.r0,retired,FAIL/SUPERSEDED/DO NOT USE；保留于superseded目录
MST-N01-UI-002,FORMAL-UI-V1.2-A矢量重画失败候选R1,scene,N01,not-in-build,design-board/formal-ui-v1-2/superseded/vector-redraw-r1/formal-ui-v1-2-a-master-v2.svg,CODEX-AI+PROJECT-OWNER,2026-08-24,manual-vector,design-board/formal-ui-v1-2/superseded/vector-redraw-r1/README.md,project-task-record,仅保留失败研究与工程追溯；禁止作为当前母版或Cocos输入,none,EXP-N01-UI-005,SVG metadata; hand-authored vector; no embedded raster,原创语义分层SVG但视觉语言仍扁平,负责人390x844与25%截图审查FAIL；成人侧脸猫体态灯光与水粉质感未达到批准参考,4d2e32989ebff9daab2a90803082c98a2f97fe8799755c874a589a5c13916c3d,v1.2-a.r1,retired,FAIL/SUPERSEDED/DO NOT USE；窗外冷夜已改善但整体质感仍不合格
